Year,Month,Species,log.metric.tons,metric.tons
2012,Jan,Chinook,NA,NA
2012,Feb,Chinook,NA,NA
2012,Mar,Chinook,NA,NA
2012,Apr,Chinook,NA,NA
2012,May,Chinook,NA,NA
2012,Jun,Chinook,NA,NA
2012,Jul,Chinook,NA,NA
2012,Aug,Chinook,NA,NA
2012,Sep,Chinook,NA,NA
2012,Oct,Chinook,NA,NA
2012,Nov,Chinook,NA,NA
2012,Dec,Chinook,NA,NA
2013,Jan,Chinook,NA,NA
2013,Feb,Chinook,NA,NA
2013,Mar,Chinook,NA,NA
2013,Apr,Chinook,NA,NA
2013,May,Chinook,NA,NA
2013,Jun,Chinook,NA,NA
2013,Jul,Chinook,NA,NA
2013,Aug,Chinook,NA,NA
2013,Sep,Chinook,NA,NA
2013,Oct,Chinook,NA,NA
2013,Nov,Chinook,NA,NA
2013,Dec,Chinook,NA,NA
2014,Jan,Chinook,1.43508452528932,4.2
2014,Feb,Chinook,0.53062825106217,1.7
2014,Mar,Chinook,0.741937344729377,2.1
2014,Apr,Chinook,1.85629799036563,6.4
2014,May,Chinook,5.50817302353531,246.7
2014,Jun,Chinook,5.26734256224861,193.9
2014,Jul,Chinook,5.59879226079857,270.1
2014,Aug,Chinook,6.24649428728451,516.2
2014,Sep,Chinook,NA,NA
2014,Oct,Chinook,5.75161980407036,314.7
2014,Nov,Chinook,1.97408102602201,7.2
2014,Dec,Chinook,-0.22314355131421,0.8
2015,Jan,Chinook,0.693147180559945,2
2015,Feb,Chinook,1.3609765531356,3.9
2015,Mar,Chinook,1.56861591791385,4.8
2015,Apr,Chinook,1.96009478404727,7.1
2015,May,Chinook,5.33945930987921,208.4
2015,Jun,Chinook,5.78043482617728,323.9
2015,Jul,Chinook,5.9482960517066,383.1
2015,Aug,Chinook,6.24552520105691,515.7
2015,Sep,Chinook,NA,NA
2015,Oct,Chinook,5.46128619482618,235.4
2015,Nov,Chinook,2.50959926237837,12.3
2015,Dec,Chinook,-1.6094379124341,0.2
