"Year","State","Species","Metric Tons","Pounds","$"
"2012","Oregon","SALMON, CHINOOK","             818.9","       1,805,358","       6,766,615"
"2012","Washington","SALMON, CHINOOK","           2,092.2","       4,612,531","      12,142,840"
"2013","Alaska","SALMON, CHINOOK","           1,801.9","       3,972,556","      15,170,267"
"2013","California","SALMON, CHINOOK","           1,967.3","       4,337,143","      22,956,869"
"2013","Michigan","SALMON, CHINOOK","              85.6","         188,802","         160,995"
"2013","Oregon","SALMON, CHINOOK","           1,459.8","       3,218,267","      11,906,952"
"2013","Washington","SALMON, CHINOOK","           2,849.2","       6,281,415","      16,717,941"
"2014","Alaska","SALMON, CHINOOK","           2,969.6","       6,546,763","      23,556,673"
"2014","California","SALMON, CHINOOK","           1,160.1","       2,557,581","      12,126,809"
"2014","Michigan","SALMON, CHINOOK","             162.5","         358,224","         272,551"
"2014","Oregon","SALMON, CHINOOK","           2,179.7","       4,805,418","      18,238,877"
"2014","Washington","SALMON, CHINOOK","           3,335.5","       7,353,335","      16,817,462"
"2015","Alaska","SALMON, CHINOOK","           2,840.7","       6,262,503","      20,333,891"
"2015","California","SALMON, CHINOOK","             607.3","       1,338,949","       8,058,457"
"2015","Michigan","SALMON, CHINOOK","              78.8","         173,792","         164,293"
"2015","Oregon","SALMON, CHINOOK","           1,329.6","       2,931,145","      11,537,840"
"2015","Washington","SALMON, CHINOOK","           3,326.6","       7,333,842","      19,170,888"
"2016","Alaska","SALMON, CHINOOK","           2,393.8","       5,277,466","      21,534,087"
"2016","California","SALMON, CHINOOK","             321.5","         708,866","       5,276,838"
"2016","Michigan","SALMON, CHINOOK","              33.0","          72,803","         118,432"
"2016","Oregon","SALMON, CHINOOK","             724.1","       1,596,444","       7,867,540"
"2016","Pennsylvania","SALMON, CHINOOK","               0.0","               5","               0"
"2016","Washington","SALMON, CHINOOK","           1,908.1","       4,206,659","      13,826,524"
